No,山名,北緯,東経,よみがな,標高（m）,所在地,地域名,備考
1,利尻山（利尻富士）,45.1786111,141.2419444,りしりざん（りしりふじ）,1721,北海道,北海道,
2,羅臼岳,44.0758333,145.1222222,らうすだけ,1661,北海道,北海道,H26年標高変更
3,斜里岳,43.7655555,144.7177777,しゃりだけ,1547,北海道,北海道,
4,阿寒岳（雌阿寒岳）,43.3866666,144.0088888,あかんだけ（めあかんだけ）,1499,北海道,北海道,
5,大雪山（旭岳）,43.6636111,142.8541666,だいせつざん（あさひだけ）,2291,北海道,北海道,
6,トムラウシ山,43.5272222,142.8488888,とむらうしやま,2141,北海道,北海道,
7,十勝岳,43.4180555,142.6863888,とかちだけ,2077,北海道,北海道,
8,幌尻岳,42.7194444,142.6827777,ぽろしりだけ,2052,北海道,北海道,H26年標高変更
9,後方羊蹄山（羊蹄山）,42.8266666,140.8113888,しりべしやま（ようていざん）,1898,北海道,北海道,
10,岩木山,40.6558333,140.3030555,いわきやま,1625,青森県,東北,
11,八甲田山（大岳）,40.6588888,140.8772222,はっこうださん（おおだけ）,1585,青森県,東北,H22年標高変更
12,八幡平,39.9577777,140.8541666,はちまんたい,1613,岩手県,東北,
13,岩手山,39.8525,141.0011111,いわてさん,2038,岩手県,東北,
14,早池峰山,39.5586111,141.4886111,はやちねやま,1917,岩手県,東北,
15,鳥海山（新山）,39.0991666,140.0488888,ちょうかいさん（しんざん）,2236,山形県,東北,
16,月山,38.5488888,140.0269444,がっさん,1984,山形県,東北,
17,朝日岳（大朝日岳）,38.2605555,139.9222222,あさひだけ（おおあさひだけ）,1871,山形県,東北,H22年標高変更
18,蔵王山（熊野岳）,38.1436111,140.44,ざおうざん（くまのだけ）,1841,山形県,東北,
19,飯豊山,37.8547222,139.7072222,いいでさん,2105,福島県,東北,
20,吾妻山（西吾妻山）,37.7383333,140.1408333,あづまやま（にしあづまやま）,2035,山形県・福島県,東北,
21,安達太良山,37.6211111,140.2877777,あだたらやま,1700,福島県,東北,
22,磐梯山,37.6008333,140.0722222,ばんだいさん,1816,福島県,東北,H22年標高変更
23,駒ヶ岳（会津駒ヶ岳）,37.0475,139.3536111,こまがたけ（あいづこまがたけ）,2133,福島県,東北,
24,那須岳（茶臼岳）,37.1247222,139.9627777,なすだけ（ちゃうすだけ）,1915,栃木県,東北,
25,駒ヶ岳（越後駒ヶ岳）,37.1236111,139.0752777,こまがたけ（えちごこまがたけ）,2003,新潟県,上信越,
26,平ヶ岳,37.0019444,139.1708333,ひらがたけ,2141,群馬県･新潟県,上信越,
